context,n,c_mean,c_sd,d_vs_intron
intergenic,15821035,30.930117593444425,3.9306127154639006,0.1680915009818432
intron,20595963,30.140696067476913,5.208710551928088,0.0
coding_exon,1643533,30.138650699438344,4.850741508455917,-0.0003946223636675314
5utr,74728,30.465568461620812,4.642446464320689,0.062394175731072685
3utr,610330,29.943183195975948,5.369403229064511,-0.0378855827562701
splice_donor,94528,27.737590978334463,6.996809665945716,-0.4605173083543382
splice_acceptor,93883,27.828094543208035,6.929657966950421,-0.4432137711048534
promoter:TSS,1409,30.18026969481902,5.078098268986705,0.007597599047160594
promoter:TATA,13559,31.021240504461982,3.8566078372743906,0.16907741554682965
promoter:CAAT,4385,30.298517673888256,4.955694219049339,0.030299859574365918
promoter:GCbox,3900,30.79974358974359,4.224484371867567,0.12653205825049263
